,,,ID,,,,,,,,,,,lon,lat,,,,
11,I,103,42812192,1,1355,2,21/04/2008,1,1,21/04/2008,15/09/2015,10/07/2014,,420022.48,535167.42,420157.85,535074.53,10,7
11,I,104,42812193,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419313.67,534425.62,419642.12,534179.25,10,10
11,I,105,42812194,1,1355,2,08/12/2014,1,1,08/12/2014,08/07/2020,09/01/2015,,419517.24,535147.3,419489.27,535157.64,10,1
11,I,106,42812195,1,1355,2,21/04/2008,1,1,21/04/2008,23/12/2015,10/07/2014,,420286.12,535435.52,420674.49,534920.5,10,16
11,I,107,42812196,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,28/04/2015,,420757.49,534942.7,420887.52,534336.89,10,4
11,I,108,42812198,2,1355,2,21/04/2008,1,1,21/04/2008,23/09/2015,10/07/2014,,411853.82,539332.76,411632.12,539551.43,10,3
11,I,109,42812199,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,417322.81,535129.53,417244.82,535017.87,10,2
11,I,110,42812200,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,420234.19,536864.3,420104.53,536874.88,10,5
11,I,111,42812201,2,1355,2,21/04/2008,1,1,21/04/2008,17/09/2018,10/07/2014,,417405.81,535092.59,417532,535089,10,3
11,I,112,42812202,2,1355,2,21/04/2008,1,1,21/04/2008,17/09/2018,10/07/2014,,417255.23,535180.79,417404.89,535096.47,10,3
11,I,113,42812206,2,1355,2,21/04/2008,1,1,21/04/2008,07/07/2017,10/07/2014,,417084.61,535345.7,417209.75,535283.29,10,5
11,I,114,42812203,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,417000.15,535126.46,417077.67,534996.91,10,3
11,I,115,42812204,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,417092.73,535061.23,417188,535092,10,1
11,I,116,42812205,1,1355,2,21/04/2008,1,1,21/04/2008,24/07/2017,10/07/2014,,416757.6,535548.73,417255.23,535180.79,10,12
11,I,117,33914844,2,1355,2,10/12/2015,1,1,21/04/2008,07/01/2016,10/07/2014,,431564.36,528762.47,431769,528919,10,1
11,I,118,33914845,2,1355,2,10/12/2015,1,1,21/04/2008,07/01/2016,10/07/2014,,431659.01,528675.89,431810,528925,10,1
11,I,119,33914846,2,1355,2,17/09/2008,1,1,17/09/2008,05/12/2016,10/07/2014,,428275.84,530075.52,428719.88,529983.68,10,8
11,I,120,33914847,2,1355,2,17/09/2008,1,1,17/09/2008,17/08/2017,10/07/2014,,428295,528913,428243.6,530073.42,10,10
11,I,121,33920000,1,1355,2,05/07/2012,1,1,05/07/2012,07/07/2015,10/07/2014,,422894.97,525714,422850.41,525677.39,10,1
11,I,122,33920002,1,1355,2,06/07/2012,1,1,06/07/2012,07/07/2015,06/07/2012,,428059,522831,428010.72,522711.18,10,5
11,I,123,33920003,1,1355,2,06/07/2012,1,1,06/07/2012,07/07/2015,10/07/2014,,426236.27,535161.2,426291.37,535114.39,10,3
11,I,124,33920011,1,1355,5,21/04/2008,1,1,21/04/2008,29/11/2018,10/07/2014,,425226,533378,425176.72,533682.11,10,2
11,I,125,33920012,1,1355,2,28/04/2015,1,1,28/04/2015,07/07/2015,28/04/2015,,427653.4,524993.94,427620.17,525027.52,10,1
11,I,126,33920013,1,1355,2,16/09/2013,1,1,16/09/2013,07/07/2015,16/09/2013,,427730.19,525057.19,427705.73,525033.12,10,1
11,I,127,33920017,1,1355,2,08/07/2013,1,1,08/07/2013,07/07/2015,10/07/2014,,426148.37,531030.27,426218.49,531054.98,10,1
11,I,128,33920020,1,1355,2,01/07/2013,1,1,01/07/2013,07/07/2015,01/07/2013,,436893.45,531763.55,436904.32,531933.53,10,1
11,I,129,33920022,1,1355,2,23/05/2012,1,1,23/05/2012,07/07/2015,10/07/2014,,436629.16,531675.07,436633.07,531765.14,10,7
11,I,130,33920023,1,1355,2,25/08/2015,1,1,25/08/2015,25/08/2015,25/08/2015,,436438,532145,438173,529885,10,11
11,I,131,33920025,1,1355,2,04/07/2013,1,1,04/07/2013,07/07/2015,10/07/2014,,427089.28,526084.84,427135.95,526186.99,10,3
11,I,132,33920028,1,1355,2,25/10/2012,1,1,25/10/2012,07/07/2015,25/10/2012,,429071.03,525343.57,429280.98,525329.97,10,2
11,I,133,33920030,1,1355,2,28/04/2015,1,1,28/04/2015,07/07/2015,28/04/2015,,427361.05,525037.68,427326.04,525084.37,10,1
11,I,134,33920033,1,1355,2,22/10/2015,1,1,22/10/2015,22/10/2015,22/10/2015,,431545,534779,431476.98,534687.72,10,1
11,I,135,33920037,1,1355,2,10/12/2014,1,1,10/12/2014,07/07/2015,10/12/2014,,428478.31,524657.43,428407.84,524657.23,10,1
11,I,136,33920045,1,1355,5,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,438008.76,536081.62,437860.66,536088.86,10,3
11,I,137,33920050,1,1355,5,05/10/2015,1,1,21/04/2008,05/10/2015,10/07/2014,,437619.55,536087.18,437860.66,536088.86,10,2
11,I,138,33920053,1,1355,5,05/10/2015,1,1,21/04/2008,05/10/2015,10/07/2014,,437619.55,536087.18,437860.66,536088.86,10,1
11,I,139,33920057,1,1355,2,29/10/2012,1,1,29/10/2012,07/07/2015,10/07/2014,,428441.54,529272.35,428357.69,529306.07,10,3
11,I,140,33920068,1,1355,2,16/01/2013,1,1,16/01/2013,07/07/2015,10/07/2014,,428364,523729,428366.49,523700.39,10,1
11,I,141,33920058,1,1355,2,23/05/2012,1,1,23/05/2012,07/07/2015,10/07/2014,,428375.44,529498.28,428396.28,529584.78,10,1
11,I,142,33920060,1,1355,2,23/05/2012,1,1,23/05/2012,07/07/2015,10/07/2014,,436718.98,531783.73,436634.8,531820.31,10,5
11,I,143,33920061,1,1355,2,23/05/2012,1,1,23/05/2012,07/07/2015,23/05/2012,,428188,524844,428198.05,524870.08,10,1
11,I,144,33920070,1,1355,2,12/12/2012,1,1,12/12/2012,07/07/2015,12/12/2012,,436109,531231,435687.22,531219.56,10,1
11,I,145,33920074,1,1355,5,21/04/2008,1,1,21/04/2008,10/07/2015,10/07/2014,,435754.5,529216.25,435664.72,529257.5,10,3
11,I,146,33920077,1,1355,2,30/04/2012,1,1,30/04/2012,07/07/2015,10/07/2014,,427507.75,535273.15,427371.53,534729.63,10,6
11,I,147,33920078,1,1355,5,21/04/2008,1,1,21/04/2008,10/08/2016,10/07/2014,,422543.99,533666,421794.47,533214.74,10,1
11,I,148,33920080,1,1355,2,31/05/2012,1,1,31/05/2012,07/07/2015,31/05/2012,,435514,530292,435581.91,530292.4,10,3
11,I,149,33920081,1,1355,2,23/05/2012,1,1,23/05/2012,07/07/2015,10/07/2014,,428275.23,529660.08,428393.88,529493.49,10,3
11,I,150,33920083,1,1355,2,26/01/2015,1,1,26/01/2015,07/07/2015,26/01/2015,,428017.63,525396.88,428132.94,525509.11,10,2
11,I,151,33920084,1,1355,4,15/03/2018,1,1,22/10/2015,15/03/2018,22/10/2015,15/03/2018,426008.29,523686.21,426244.43,523806.6,10,0
11,I,152,33920086,1,1355,2,28/08/2013,1,1,28/08/2013,16/02/2016,10/07/2014,,437207,535375,437324.2,535448.07,10,18
11,I,153,33920089,1,1355,2,25/10/2012,1,1,25/10/2012,07/07/2015,25/10/2012,,429007,525322,429077.5,525515.34,10,3
11,I,154,33920097,1,1355,2,25/10/2012,1,1,25/10/2012,07/07/2015,25/10/2012,,426908.61,535161.29,426883,535127.99,10,3
11,I,155,33920098,1,1355,2,31/05/2012,1,1,31/05/2012,07/07/2015,31/05/2012,,423427.1,525232.22,423391.13,525218.04,10,3
11,I,156,33920100,1,1355,2,12/12/2012,1,1,12/12/2012,22/01/2019,12/12/2012,,427024,524034,426955.31,524002.45,10,2
11,I,157,33920101,1,1355,5,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,430401,531127,430224.17,531912.44,10,2
11,I,158,33920103,1,1355,2,09/03/2016,1,1,27/08/2013,09/03/2016,10/07/2014,,428868.5,532139.15,428719.45,532120.24,10,1
11,I,159,33920106,1,1355,2,20/06/2013,1,1,20/06/2013,21/07/2020,20/06/2013,,437144.35,534072.19,437090,534080,10,3
11,I,160,33920109,1,1355,2,27/04/2015,1,1,27/04/2015,07/07/2015,27/04/2015,,428598.39,525692.09,428590.32,525602.23,10,3
11,I,161,33920110,1,1355,2,12/12/2012,1,1,12/12/2012,07/07/2015,12/12/2012,,435496,530375,435661.56,530364.83,10,1
11,I,162,33920112,1,1355,2,12/12/2012,1,1,12/12/2012,08/09/2016,10/07/2014,,427665,526195,427687,526270,10,3
11,I,163,33920113,1,1355,2,12/12/2012,1,1,12/12/2012,07/07/2015,12/12/2012,,433102.15,526534.48,433132.53,526443.97,10,1
11,I,164,33920115,1,1355,2,15/01/2013,1,1,15/01/2013,07/07/2015,10/07/2014,,435543,528851,435520,528756,10,5
11,I,165,33920120,1,1355,2,26/10/2012,1,1,26/10/2012,07/07/2015,26/10/2012,,435479.42,528783.84,435438.11,528782.07,10,1
11,I,166,33920121,1,1355,2,31/05/2012,1,1,31/05/2012,07/07/2015,31/05/2012,,435498.69,530329.26,435447.32,530319.48,10,1
11,I,167,33920123,2,1355,2,04/09/2018,1,1,04/09/2018,04/09/2018,04/09/2018,,425892.12,535630.72,426277.14,535268.23,10,6
11,I,168,33920124,1,1355,2,31/05/2012,1,1,31/05/2012,07/07/2015,31/05/2012,,435527,530247,435415.75,530247.04,10,3
11,I,169,33920127,1,1355,2,31/05/2012,1,1,31/05/2012,27/07/2017,31/05/2012,,435401.03,530518.49,435422.16,530325.95,10,7
11,I,170,33920126,1,1355,2,31/05/2012,1,1,31/05/2012,07/07/2015,31/05/2012,,422244.74,527030.11,422258.32,526940.77,10,5
11,I,171,33920129,1,1355,2,31/10/2012,1,1,31/10/2012,07/07/2015,10/07/2014,,428126,526044,428124.77,526007.93,10,3
11,I,172,33920132,1,1355,2,23/05/2012,1,1,23/05/2012,07/07/2015,23/05/2012,,428274.55,529602.8,428416.45,529584.34,10,2
11,I,173,39700859,2,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,404654,516508,404771.81,516382.21,10,5
11,I,174,39700876,2,1355,2,21/04/2008,1,1,21/04/2008,28/10/2015,10/07/2014,,409634.27,518776.32,407434.68,518257.56,10,9
11,I,175,39700877,2,1355,2,21/04/2008,1,1,21/04/2008,02/11/2015,10/07/2014,,410866.58,519136.63,409634.27,518776.32,10,4
11,I,176,39700878,2,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,410866.58,519136.63,412268,520378,10,2
11,I,177,39700893,2,1355,2,21/04/2008,1,1,21/04/2008,20/07/2017,10/07/2014,,410701,516667.8,410548.17,515007.46,10,3
11,I,178,39700894,2,1355,2,21/04/2008,1,1,21/04/2008,25/10/2016,10/07/2014,,382769,533227,378112.88,535793.72,1,5
11,I,179,39700905,2,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,400369.22,523604.68,400081.86,523471.55,10,5
11,I,180,39700908,2,1355,2,21/04/2008,1,1,21/04/2008,28/01/2016,10/07/2014,,401099.67,523059.27,404191,524058,10,2
11,I,181,39700909,2,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,414063.67,516738.98,413672.34,516754.31,10,5
11,I,182,39700910,2,1355,2,21/04/2008,1,1,21/04/2008,16/11/2015,10/07/2014,,406600.93,514890.43,406448,515661,10,6
